0	1	2	3	4	5	6	7	8	9	10
东方现代城北苑 毛坯现房 2室2厅 54W	东方现代城北苑	巩义东区-中心	住宅	2室2厅1卫	95平米	毛坯	高/18	南	2016年	5684元/平米
出售祥云小区三室二厅二卫毛坯现房	祥云小区	巩义东区-中心	住宅	3室2厅2卫	142.1平米	毛坯	中/18	南	2013年	6685元/平米
四初隔壁开普四楼出售有证能过户	开普小区北区	巩义市区-中心	住宅	3室1厅1卫	90平米	简单装修	4/6	南北	1995年	3889元/平米
急售开普新苑电梯双气2室采光超好看房随时	开普新苑	巩义市区-中心	住宅	2室2厅1卫	97平米	简单装修	高/18	南	2010年	5155元/平米
出售育英街123平套房精装修45万45万急售婚房装修	海盛花园	巩义市区-中心	住宅	3室2厅1卫	123平米	豪华装修	中/7	南北	2000年	4472元/平米
新兴路 水苑小区南苑 多层2楼三房 双气 有证可过户	水苑小区南区	巩义市区-中心	住宅	3室2厅1卫	89平米	豪华装修	低/6	南北	1996年	3596元/平米
和平花园 128平 三室 35万	和平花园	巩义市区-中心	住宅	3室2厅2卫	128平米	简单装修	6/7	南北	2005年	3438元/平米
只需28万，有证可过户，鸿福苑对面103平小三室	鸿福园	巩义市区-中心	住宅	3室1厅1卫	103平米	简单装修	5/6	东西	1995年	2718元/平米
和协花园有证可分期优质房源均价低	和协花园	巩义东区-中心	住宅	3室2厅1卫	136平米	简单装修	低/18	南北	2010年	6250元/平米
出售市区中心05年次新房三室毛坯有证可分期价格便宜	拖厂南苑	巩义市区-中心	住宅	3室2厅2卫	127平米	毛坯	4/6	南北	2006年	5197元/平米
锦江国际花园 电梯洋房三室两厅两卫 单价4860 超性价比	锦江国际花园	巩义东区-中心	住宅	3室2厅2卫	142平米	毛坯	6/7	南北	2013年	4859元/平米
有证能分期学区房中间好楼层	华树世家	巩义市区-中心	住宅	3室2厅2卫	127平米	中等装修	6/3		0年	6614元/平米
民族饭店西侧房屋出售	安置小区	北山口镇-镇中心	住宅	2室2厅1卫	90平米	豪华装修	4/5	南北通透	12年	2778元/平米
【锦豪园】大三房	锦豪园商住区	巩义市区-中心	住宅	3室2厅2卫	147.6平米	中等装修	3/7		0年	面议/平米
【桐本路市医院家属楼】二门诊市医院家属楼	桐本路市医院家属楼	巩义市区-周边	住宅	3室1厅1卫	96平米	简单装修	4/5	南北	0年	2292元/平米
【杜甫路工行家属楼】急售杜甫路工行家属楼	杜甫路工行家属楼	巩义市区-周边	住宅	3室1厅1卫	100平米	简单装修	6/6		0年	2000元/平米
【电磁厂家属院】电磁厂家属院 3室2厅1卫 110㎡		巩义市区-周边	住宅	3室2厅1卫	110平米	简单装修	2/5	南	30年	1818元/平米
【鑫源小区】鑫源小区 4室2厅2卫 180㎡	鑫源小区	巩义市区-中心	住宅	4室2厅2卫	180平米	简单装修	5/7	南北	16年	2111元/平米
南北通透，新装一天没住，稀有户型 两室两厅一卫！	东方现代城南苑	巩义东区-中心	住宅	2室2厅1卫	95平米	简单装修	低/26	南北	2014年	6526元/平米
售市区毛坯房电梯房，光147平，45万，光线好，位置好，急售		巩义市区-中心	住宅	3室2厅2卫	147平米	毛坯	中/11	南北	2013年	3061元/平米
售货场路三室精装步梯2楼有证可分期	锦豪园商住区	巩义市区-中心	住宅	3室2厅2卫	117平米	简单装修	2/6	东	2002年	5983元/平米
市区好位置精装修拎包住全款34买三房人民东路		巩义市区-中心	住宅	3室1厅1卫	93平米	豪华装修	5/7	南北	1996年	3656元/平米
精装修一次性明阳花园两室两厅一卫116平，仅售38万！	明阳花园	巩义市区-中心	住宅	2室2厅1卫	116平米	豪华装修	5/7	南北	2008年	3276元/平米
出售东区91平小三室毛坯房	盛威凯旋门	巩义东区-中心	住宅	3室1厅1卫	91平米	毛坯	高/20	南北	2009年	5495元/平米
售锦豪园双气步梯3楼简装全款一口价45万	锦豪园商住区	巩义市区-中心	住宅	3室2厅2卫	140平米	简单装修	4/6	东	2002年	3214元/平米
出售：星月一期毛坯三室套房手续齐全可以过户		巩义市区-中心	住宅	3室2厅2卫	128平米	毛坯	5/6	南北	2007年	4297元/平米
朗曼新城 首付29W 毛坯两室 户型好 单价低 中间楼层	朗曼新城	巩义东区-中心	住宅	2室2厅1卫	80平米	毛坯	中/26	南	2016年	6250元/平米
出售森海玉波苑三室二厅二卫	森海玉波苑东区	巩义东区-中心	住宅	3室2厅2卫	143.1平米	豪华装修	低/7	南北	2013年	7477元/平米
出售三室二厅二卫简装现房	海盛花园	巩义市区-中心	住宅	3室2厅2卫	120.5平米	简单装修	中/7	南北	2008年	6224元/平米
